ID,traded_currencies,percentage_of_market,source,price
Poloniex - Bitmark / Bitcoin,"Bitmark, Bitcoin",0.00%,Poloniex,0.42
BTC - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTC,2.87
BTER - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,BTER,2.84
Coins-E - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Coins-E,4.64
Cryptsy - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Cryptsy,2.81
Poloniex - BitShares PTS / Bitcoin,"BitShares PTS, Bitcoin",0.08%,Poloniex,2.73
BTC - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTC,2.86
BTER - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,BTER,2.86
Yunbi - BitShares PTS / Chinese Yuan,"BitShares PTS, Chinese Yuan",0.08%,Yunbi,3.02
Bittrex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Bittrex,0.03
BTC - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTC,0.03
BTER - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,BTER,0.03
Crypto-Trade - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Crypto-Trade,0.27
Poloniex - BitSharesX / Bitcoin,"BitSharesX, Bitcoin",0.83%,Poloniex,0.03
BTC - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTC,0.03
BTER - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,BTER,0.03
Yunbi - BitSharesX / Chinese Yuan,"BitSharesX, Chinese Yuan",0.83%,Yunbi,0.03
BTER - BitSharesX / Nxt,"BitSharesX, Nxt",0.83%,BTER,0.02
Crypto-Trade - BitSharesX / US Dollar,"BitSharesX, US Dollar",0.83%,Crypto-Trade,0.03
Bittrex - BitSwift / Bitcoin,"BitSwift, Bitcoin",0.07%,Bittrex,0.14
BitShares Asset Exchange - BitUSD / BitSharesX,"BitUSD, BitSharesX",0.02%,BitShares Asset Exchange,0.99
BTER - BitUSD / US Dollar,"BitUSD, US Dollar",0.02%,BTER,0.97
AllCoin - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,AllCoin,0.04
Bittrex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Bittrex,0.04
BTER - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,BTER,0.04
Cryptsy - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Cryptsy,0.04
Melotic - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Melotic,0.04
Poloniex - BlackCoin / Bitcoin,"BlackCoin, Bitcoin",0.05%,Poloniex,0.04
Bittylicious - BlackCoin / British Pound,"BlackCoin, British Pound",0.05%,Bittylicious,0.05
BTC - BlackCoin / Chinese Yuan,"BlackCoin, Chinese Yuan",0.05%,BTC,0.04
BTER - BlackCoin / Chinese Yuan,"BlackCoin, Chinese Yuan",0.05%,BTER,0.04
Cryptsy - BlackCoin / Litecoin,"BlackCoin, Litecoin",0.05%,Cryptsy,0.04
Bittrex - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,Bittrex,0.12
BTER - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,BTER,0.12
Poloniex - Boolberry / Bitcoin,"Boolberry, Bitcoin",0.03%,Poloniex,0.11
Poloniex - Boolberry / Monero,"Boolberry, Monero",0.03%,Poloniex,0.23
Bittrex - Boomcoin / Bitcoin,"Boomcoin, Bitcoin",0.05%,Bittrex,0.02
Comkort - CAIx / Bitcoin,"CAIx, Bitcoin",0.00%,Comkort,0.08
Cryptsy - CAIx / Bitcoin,"CAIx, Bitcoin",0.00%,Cryptsy,0.02
AllCrypt - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,AllCrypt,0.02
Bittrex - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Bittrex,0.04
Bleutrade - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Bleutrade,0.04
C-CEX - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,C-CEX,0.04
Coin-Swap - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Coin-Swap,0.03
Cryptoine - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Cryptoine,0.02
Cryptsy - CannabisCoin / Bitcoin,"CannabisCoin, Bitcoin",0.32%,Cryptsy,0.04
Bleutrade - CannabisCoin / Dogecoin,"CannabisCoin, Dogecoin",0.32%,Bleutrade,0.02
Cryptsy - CannabisCoin / Ripple,"CannabisCoin, Ripple",0.32%,Cryptsy,0.04
Bittrex - Cannacoin / Bitcoin,"Cannacoin, Bitcoin",0.04%,Bittrex,0.04
SwissCEX - Cannacoin / Bitcoin,"Cannacoin, Bitcoin",0.04%,SwissCEX,0.03
Poloniex - Chancecoin / Bitcoin,"Chancecoin, Bitcoin",0.00%,Poloniex,0.25
Coins-E - Cinni / Bitcoin,"Cinni, Bitcoin",0.00%,Coins-E,0.05
Crypto-Trade - Cinni / US Dollar,"Cinni, US Dollar",0.00%,Crypto-Trade,0.14
Poloniex - Clams / Bitcoin,"Clams, Bitcoin",0.00%,Poloniex,0.26
AllCoin - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,AllCoin,0.03
Bittrex - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Bittrex,0.03
Coin-Swap - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Coin-Swap,0.06
Cryptsy - CloakCoin / Bitcoin,"CloakCoin, Bitcoin",0.03%,Cryptsy,0.03
Bittrex - CloakCoin / BlackCoin,"CloakCoin, BlackCoin",0.03%,Bittrex,0.04
Cryptsy - CloakCoin / Litecoin,"CloakCoin, Litecoin",0.03%,Cryptsy,0.03
Cryptsy - CloakCoin / Ripple,"CloakCoin, Ripple",0.03%,Cryptsy,0.03
Poloniex - Coinomat / Bitcoin,"Coinomat, Bitcoin",0.00%,Poloniex,0.15
Nxt Asset Exchange - Coinomat / Nxt,"Coinomat, Nxt",0.00%,Nxt Asset Exchange,0.16
Crypto-Trade - Copperlark / US Dollar,"Copperlark, US Dollar",0.01%,Crypto-Trade,0.02
BTER - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,BTER,3.63
Counterparty DEX - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Counterparty DEX,3.74
MasterXchange - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,MasterXchange,4.03
Melotic - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Melotic,3.71
Poloniex - Counterparty / Bitcoin,"Counterparty, Bitcoin",0.01%,Poloniex,3.72
BTER - Counterparty / Chinese Yuan,"Counterparty, Chinese Yuan",0.01%,BTER,3.52
BTER - Counterparty / Nxt,"Counterparty, Nxt",0.01%,BTER,4.49
BTER - Counterparty / US Dollar,"Counterparty, US Dollar",0.01%,BTER,4
NIX-E - CRTCoin / Bitcoin,"CRTCoin, Bitcoin",0.00%,NIX-E,0.09
NIX-E - CRTCoin / US Dollar,"CRTCoin, US Dollar",0.00%,NIX-E,0.07
BTER - CryptoBuk / Bitcoin,"CryptoBuk, Bitcoin",0.00%,BTER,0.02
Coins-E - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Coins-E,0.08
Cryptex - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Cryptex,0.13
Crypto-Trade - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Crypto-Trade,0.15
Cryptsy - Cryptogenic Bullion / Bitcoin,"Cryptogenic Bullion, Bitcoin",0.00%,Cryptsy,0.12
Vault of Satoshi - Cryptogenic Bullion / Canadian Dollars,"Cryptogenic Bullion, Canadian Dollars",0.00%,Vault of Satoshi,0.4
Cryptsy - Cryptogenic Bullion / Litecoin,"Cryptogenic Bullion, Litecoin",0.00%,Cryptsy,0.13
Crypto-Trade - Cryptogenic Bullion / US Dollar,"Cryptogenic Bullion, US Dollar",0.00%,Crypto-Trade,0.05
Poloniex - Cryptographic Anomaly / Bitcoin,"Cryptographic Anomaly, Bitcoin",0.00%,Poloniex,0.03
AllCoin - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,AllCoin,1.99
Bitfinex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Bitfinex,2.16
Bittrex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Bittrex,2.18
BTER - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,BTER,2.17
Cryptsy - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Cryptsy,2.2
Melotic - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Melotic,2.29
Poloniex - Darkcoin / Bitcoin,"Darkcoin, Bitcoin",0.16%,Poloniex,2.19
