id,name,mining_status,preminable,symbol,market_capitalization,price,available_suppy,volume_17_oct_14
103,Datacoin,Minable,,DTC,"$25,888",$0.02,1713492,$15
104,Digitalcoin,Minable,,DGC,"$193,842",$0.01,17508028,$186
105,DNotes,Minable,,NOTE,"$489,185",$0.01,92181351,"$2,783"
106,Elacoin,Minable,,ELC,"$6,339",$0.02,392877,$205
107,EmerCoin,Minable,,EMC,"$332,002",$0.01,33400428,$833
109,Feathercoin,Minable,,FTC,"$2,113,958",$0.04,58175330,"$12,020"
110,Franko,Minable,,FRK,"$12,950",$0.04,290140,$30
111,HoboNickels,Minable,,HBN,"$215,412",$0.03,6744325,"$1,641"
112,HunterCoin,Minable,,HUC,"$33,064",$0.01,4104510,$20
113,LiteBar,Minable,,LTB,"$6,178",$0.03,176737,$113
114,Megacoin,Minable,,MEC,"$675,044",$0.03,25697150,"$1,325"
116,MonaCoin,Minable,,MONA,"$677,666",$0.05,13071900,"$3,144"
117,Namecoin,Minable,,NMC,"$10,264,098",$1.02,10065900,"$93,788"
118,Novacoin,Minable,,NVC,"$759,367",$0.90,846792,"$5,542"
119,Orbitcoin,Minable,,ORB,"$64,838",$0.04,1697226,$485
120,Philosopher Stones,Minable,,PHS,"$81,582",$0.04,2237262,$143
121,UtilityCoin,Not_minable,,UTIL,"$116,962",$0.03,3706927,"$12,049"
124,BlackCoin,Not_minable,,BC,"$2,962,605",$0.04,74692738,"$18,127"
125,Firecoin,Not_minable,,FIRE,"$2,156",$0.02,97603,$202
126,Boomcoin,Not_minable,,BOOM,"$217,232",$0.02,11364114,"$16,808"
127,Ethercoin,Not_minable,,ETC,"$709,189",$0.71,1000000,"$4,177"
128,Abundance2,Not_minable,,ABC2,"$12,518",$0.02,686736,$36
129,ShadowCash,Not_minable,,SDC,"$470,460",$0.07,6440274,"$1,055"
130,SocialxBot,Not_minable,,XBOT,"$9,873",$0.01,1074409,$181
131,CloakCoin,Not_minable,,CLOAK,"$142,284",$0.03,4534904,"$10,966"
135,Dogeparty,Not_minable,,XDP,"$279,871",$0.10,2680316,$213
136,Fibre,Not_minable,,FIBRE,"$186,986",$0.30,625428,"$3,993"
137,HyperStake,Not_minable,,HYP,"$502,673",$0.02,28416784,"$7,072"
139,KoreCoin,Not_minable,,KORE,"$149,112",$0.09,1731078,"$5,143"
140,Counterparty,Not_minable,,XCP,"$9,686,057",$3.66,2647484,"$4,072"
141,InkWayCoin,Not_minable,,LKNX,"$1,424,650",$0.14,10000000,$246
142,XCurrency,Not_minable,,XC,"$2,388,584",$0.43,5549724,"$19,917"
143,Bitcoin Plus,Not_minable,,XBC,"$50,619",$0.91,55350,$643
144,Hyper,Not_minable,,HYPER,"$248,555",$0.07,3407421,$643
146,KeyCoin,Not_minable,,KEY,"$28,816",$0.03,915703,$258
161,XCash,Not_minable,,XCASH,"$100,058",$0.04,2435681,"$1,630"
